"","bmi","hematoc","bpb","chol","trig","scalc","creat","calc","sodium","potass","educ","smk","packyrs"
"beta",0.502186145418742,0.469452475183551,0.466413258691009,0.0389278941650246,0.013228007285459,3.50502699791685,2.35269102757446,-1.24571484027561e-05,-5.2559731161178e-05,-6.93917209517787e-06,-1.58967576784748,0.377063814938642,-0.000702920329909794
"p",2.50030791435428e-39,3.22668725082661e-18,4.41404970987341e-11,1.08119668629549e-13,1.06779325395222e-12,2.04263183686462e-11,4.46778370816295e-05,0.149977517409236,0.00215907546368724,0.80078424955442,2.01447326345796e-06,0.163947713174963,0.948386322234235
